Year,City,Event
2008,Beijing,VolleyballVolleyball
2012,London,VolleyballVolleyball
2012,London,WrestlingWelterweightGrecoRoman
2016,Rio de Janeiro,WrestlingMiddleweightGrecoRoman
2016,Rio de Janeiro,Athletics10000metres
2008,Beijing,Athletics3000metresSteeplechase
2012,London,Athletics3000metresSteeplechase
1992,Barcelona,Athletics3000metresSteeplechase
1996,Atlanta,Athletics3000metresSteeplechase
1988,Seoul,Athletics10000metres
1992,Barcelona,AthleticsMarathon
1928,Amsterdam,FencingFoilIndividual
1928,Amsterdam,FencingFoilTeam
1936,Berlin,FencingFoilIndividual
1936,Berlin,FencingFoilTeam
1936,Berlin,FencingepeeIndividual
1936,Berlin,FencingepeeTeam
2000,Sydney,Athletics10000metres
2004,Athina,Athletics10000metres
2008,Beijing,Athletics10000metres
2012,London,AthleticsMarathon
2000,Sydney,WrestlingWelterweightGrecoRoman
2004,Athina,WrestlingMiddleweightFreestyle
2008,Beijing,WrestlingMiddleweightFreestyle
1984,Los Angeles,Swimming100metresBackstroke
1984,Los Angeles,Swimming200metresBackstroke
1984,Los Angeles,Swimming4x100metresMedleyRelay
1976,Montreal,FootballFootball
2012,London,BoxingLightweight
2000,Sydney,WrestlingLightHeavyweightFreestyle
2004,Athina,ModernPentathlonIndividual
1988,Seoul,ModernPentathlonIndividual
1988,Seoul,ModernPentathlonTeam
1992,Barcelona,ModernPentathlonIndividual
1992,Barcelona,ModernPentathlonTeam
1996,Atlanta,Athletics200metres
2016,Rio de Janeiro,VolleyballVolleyball
1952,Helsinki,BoxingBantamweight
2016,Rio de Janeiro,Athletics200metres
1980,Moskva,Athletics4x400metresRelay
1996,Atlanta,HockeyHockey
2000,Sydney,TableTennisSingles
2000,Sydney,TableTennisDoubles
2008,Beijing,TableTennisSingles
1996,Atlanta,ShootingSkeet
2000,Sydney,ShootingSkeet
2000,Sydney,Swimming50metresFreestyle
1928,Amsterdam,Athletics110metresHurdles
1928,Amsterdam,Athletics400metresHurdles
1960,Roma,WeightliftingHeavyweight
1964,Tokyo,WeightliftingHeavyweight
1980,Moskva,FootballFootball
1980,Moskva,WeightliftingLightHeavyweight
1976,Montreal,Athletics200metres
1960,Roma,BoxingLightweight
1992,Barcelona,Athletics4x400metresRelay
1988,Seoul,AthleticsMarathon
2000,Sydney,Swimming50metresFreestyle
1976,Montreal,WaterPoloWaterPolo
1984,Los Angeles,ShootingSmallBoreRifleThreePositions50metres
1984,Los Angeles,ShootingRapidFirePistol25metres
1972,Munich,CyclingRoadRaceIndividual
1968,Mexico City,Athletics400metresHurdles
1960,Roma,HockeyHockey
1964,Tokyo,HockeyHockey
2008,Beijing,Athletics100metres
2012,London,Athletics100metres
1960,Roma,AthleticsTripleJump
1960,Roma,AthleticsHighJump
1948,London,HockeyHockey
1980,Moskva,WrestlingFlyweightGrecoRoman
1936,Berlin,DivingPlatform
1948,London,DivingPlatform
1996,Atlanta,ShootingAirRifle10metres
1980,Moskva,Swimming400metresFreestyle
1980,Moskva,Swimming100metresButterfly
1952,Helsinki,HockeyHockey
2004,Athina,WeightliftingLightweight
1968,Mexico City,Athletics100metres
1968,Mexico City,Athletics4x100metresRelay
1972,Munich,Athletics4x100metresRelay
2008,Beijing,AthleticsLongJump
2012,London,FencingepeeIndividual
1972,Munich,WrestlingFeatherweightFreestyle
1968,Mexico City,Swimming100metresFreestyle
1968,Mexico City,Swimming200metresFreestyle
1968,Mexico City,Swimming4x100metresFreestyleRelay
1968,Mexico City,Swimming4x200metresFreestyleRelay
1968,Mexico City,Swimming4x100metresMedleyRelay
1988,Seoul,Swimming200metresButterfly
