Year,City,Event
2006,Torino,ShortTrackSpeedSkating1500metres
2006,Torino,ShortTrackSpeedSkating3000metresRelay
2010,Vancouver,ShortTrackSpeedSkating1000metres
2010,Vancouver,ShortTrackSpeedSkating1500metres
2010,Vancouver,ShortTrackSpeedSkating3000metresRelay
2000,Sydney,TaekwondoHeavyweight
2004,Athina,TaekwondoHeavyweight
1900,Paris,AthleticsStandingHighJump
1900,Paris,AthleticsStandingLongJump
1900,Paris,AthleticsStandingTripleJump
1906,Athina,RowingCoxedPairs1kilometres
2012,London,WrestlingFeatherweightFreestyle
1936,Berlin,SailingMixedTwoPersonKeelboat
1928,Amsterdam,RowingCoxlessFours
1984,Los Angeles,Swimming400metresIndividualMedley
1928,Amsterdam,AthleticsHammerThrow
1936,Berlin,WrestlingBantamweightGrecoRoman
1920,Antwerpen,ShootingMilitaryPistol30metres
2004,Athina,CyclingSprint
2004,Athina,CyclingKeirin
2004,Athina,CyclingTeamSprint
1998,Nagano,CurlingCurling
2016,Rio de Janeiro,CyclingKeirin
1956,Melbourne,WrestlingWelterweightGrecoRoman
2016,Rio de Janeiro,WrestlingFeatherweightGrecoRoman
2000,Sydney,WrestlingHeavyweightFreestyle
1936,Berlin,WrestlingWelterweightGrecoRoman
1996,Atlanta,CyclingSprint
2012,London,WrestlingWelterweightFreestyle
2000,Sydney,WeightliftingFeatherweight
2004,Athina,WeightliftingFeatherweight
1976,Innsbruck,SpeedSkating500metres
1992,Albertville,SpeedSkating1500metres
1992,Albertville,SpeedSkating3000metres
1992,Albertville,SpeedSkating5000metres
1994,Lillehammer,SpeedSkating5000metres
1936,Berlin,RowingDoubleSculls
1948,London,CyclingSprint
1996,Atlanta,CanoeingCanadianDoubles1000metres
1904,St. Louis,WaterPoloWaterPolo
1960,Roma,CanoeingKayakSingles1000metres
1984,Los Angeles,RowingQuadrupleSculls
1920,Antwerpen,TennisMixedDoubles
1992,Barcelona,CyclingIndividualPursuit3000metres
2010,Vancouver,ShortTrackSpeedSkating500metres
2010,Vancouver,ShortTrackSpeedSkating1000metres
1932,Los Angeles,Athletics110metresHurdles
1996,Atlanta,SailingMixedTwoPersonKeelboat
1996,Atlanta,RowingSingleSculls
1976,Montreal,Swimming100metresBackstroke
1976,Montreal,Swimming200metresBackstroke
1980,Moskva,Swimming100metresBackstroke
1908,London,ShootingTrap
1908,London,ShootingTrapTeam
1984,Los Angeles,RowingCoxlessFours
2012,London,WeightliftingLightHeavyweight
2008,Beijing,CanoeingKayakFours500metres
1900,Paris,ArcheryAuCordonDore50metres
1928,Amsterdam,CyclingSprint
1988,Seoul,AthleticsHeptathlon
1956,Melbourne,ShootingRapidFirePistol25metres
1920,Antwerpen,FigureSkatingSingles
1920,Antwerpen,FigureSkatingMixedPairs
2016,Rio de Janeiro,CanoeingKayakSingles200metres
2016,Rio de Janeiro,CanoeingKayakDoubles200metres
1984,Los Angeles,VolleyballVolleyball
1920,Antwerpen,Swimming100metresFreestyle
1920,Antwerpen,Swimming300metresFreestyle
2016,Rio de Janeiro,Swimming200metresBackstroke
1928,Amsterdam,Athletics10000metres
2000,Sydney,EquestrianismMixedThreeDayEventTeam
1992,Barcelona,Swimming200metresBreaststroke
1992,Barcelona,Swimming200metresIndividualMedley
1980,Moskva,WrestlingSuperHeavyweightGrecoRoman
1988,Seoul,WrestlingSuperHeavyweightGrecoRoman
1984,Los Angeles,AthleticsDiscusThrow
1984,Los Angeles,AthleticsDiscusThrow
1984,Los Angeles,AthleticsHammerThrow
1984,Los Angeles,WeightliftingLightHeavyweight
1904,St. Louis,WrestlingWelterweightFreestyle
1908,London,AthleticsJavelinThrow
2008,Beijing,EquestrianismMixedDressageTeam
1988,Calgary,LugeSingles
1952,Helsinki,RowingDoubleSculls
1972,Munich,AthleticsJavelinThrow
1976,Montreal,AthleticsJavelinThrow
2014,Sochi,SpeedSkating3000metres
2014,Sochi,SpeedSkating5000metres
1948,London,Athletics80metresHurdles
1948,London,AthleticsHighJump
1948,London,AthleticsLongJump
1992,Barcelona,Swimming100metresBreaststroke
1936,Berlin,WeightliftingHeavyweight
2010,Vancouver,SpeedSkating10000metres
1980,Moskva,RowingCoxlessPairs
1924,Paris,BoxingMiddleweight
1960,Roma,CanoeingCanadianDoubles1000metres
1948,London,DivingPlatform
1968,Mexico City,AthleticsShotPut
2016,Rio de Janeiro,CyclingTeamPursuit4000metres
1936,Garmisch-Partenkirchen,BobsleighTwo
2008,Beijing,WeightliftingLightweight
2012,London,WeightliftingLightweight
2006,Torino,FreestyleSkiingMoguls
1960,Roma,CyclingTandemSprint2000metres
2016,Rio de Janeiro,TennisMixedDoubles
2000,Sydney,BeachVolleyballBeachVolleyball
1972,Sapporo,AlpineSkiingDownhill
1972,Sapporo,AlpineSkiingGiantSlalom
1972,Sapporo,AlpineSkiingSlalom
1988,Seoul,RowingSingleSculls
1976,Montreal,RowingCoxedFours
1906,Athina,WrestlingMiddleweightGrecoRoman
2016,Rio de Janeiro,TaekwondoWelterweight
1924,Paris,RowingCoxlessPairs
1936,Garmisch-Partenkirchen,AlpineSkiingCombined
2000,Sydney,BoxingLightweight
1996,Atlanta,FencingepeeIndividual
1996,Atlanta,FencingepeeTeam
2000,Sydney,RowingDoubleSculls
1984,Los Angeles,WeightliftingFeatherweight
2016,Rio de Janeiro,GymnasticsHorseVault
1920,Antwerpen,BoxingLightweight
1924,Paris,BoxingLightHeavyweight
2016,Rio de Janeiro,ModernPentathlonIndividual
1988,Calgary,SpeedSkating5000metres
1998,Nagano,SpeedSkating5000metres
1976,Innsbruck,LugeSingles
2004,Athina,WrestlingFlyweightFreestyle
2016,Rio de Janeiro,FencingepeeIndividual
2016,Rio de Janeiro,FencingepeeTeam
2002,Salt Lake City,CurlingCurling
1904,St. Louis,TennisSingles
1904,St. Louis,TennisDoubles
1956,Melbourne,AthleticsLongJump
1998,Nagano,SnowboardingGiantSlalom
2000,Sydney,CanoeingCanadianSinglesSlalom
2004,Athina,CanoeingCanadianSinglesSlalom
2008,Beijing,CanoeingCanadianSinglesSlalom
2008,Beijing,CyclingMadison
1992,Albertville,ShortTrackSpeedSkating1000metres
1908,London,Athletics5mile
1932,Los Angeles,ArtCompetitionsMixedSculpturingStatues
2008,Beijing,CanoeingCanadianDoublesSlalom
1992,Barcelona,JudoMiddleweight
1900,Paris,FencingFoilIndividual
1980,Moskva,AthleticsPoleVault
2012,London,TennisDoubles
1964,Tokyo,Swimming400metresFreestyle
1964,Tokyo,Swimming400metresIndividualMedley
1920,Antwerpen,WeightliftingMiddleweight
1980,Moskva,WrestlingBantamweightFreestyle
1896,Athina,AthleticsMarathon
1912,Stockholm,SailingMixed10metres
1952,Helsinki,WrestlingMiddleweightGrecoRoman
2000,Sydney,CyclingRoadRaceIndividual
2004,Athina,RowingSingleSculls
1964,Tokyo,CanoeingKayakDoubles1000metres
2000,Sydney,JudoHeavyweight
1984,Los Angeles,BoxingLightweight
1994,Lillehammer,FigureSkatingMixedPairs
2014,Sochi,ShortTrackSpeedSkating1000metres
2014,Sochi,ShortTrackSpeedSkating1500metres
2014,Sochi,ShortTrackSpeedSkating3000metresRelay
1976,Innsbruck,CrossCountrySkiing50kilometres
1924,Paris,RowingSingleSculls
2012,London,CanoeingKayakSingles1000metres
2012,London,CanoeingCanadianSingles200metres
2016,Rio de Janeiro,CanoeingCanadianSingles200metres
1980,Moskva,SailingMixedTwoPersonKeelboat
1996,Atlanta,Swimming50metresFreestyle
1996,Atlanta,JudoHalfHeavyweight
1952,Helsinki,BoxingHeavyweight
1968,Mexico City,WeightliftingFeatherweight
2012,London,DivingSpringboard
2012,London,ModernPentathlonIndividual
1920,Antwerpen,ShootingRunningTargetDoubleShotTeam
2008,Beijing,DivingSynchronizedPlatform
2016,Rio de Janeiro,DivingSynchronizedPlatform
1984,Sarajevo,SpeedSkating10000metres
1920,Antwerpen,SailingMixed30metres
1980,Moskva,SailingMixedTwoPersonDinghy
1996,Atlanta,BadmintonDoubles
1952,Helsinki,AthleticsJavelinThrow
1992,Albertville,SpeedSkating10000metres
2012,London,WrestlingFlyweightFreestyle
2000,Sydney,TaekwondoWelterweight
1956,Melbourne,ShootingFreePistol50metres
1920,Antwerpen,AthleticsHammerThrow
1964,Tokyo,Swimming200metresBackstroke
1964,Tokyo,Swimming4x100metresMedleyRelay
1948,London,AthleticsHammerThrow
1900,Paris,Athletics1500metres
1900,Paris,Athletics4000metresSteeplechase
1900,Paris,Athletics5000metresTeam
1948,London,CanoeingCanadianDoubles1000metres
1932,Lake Placid,FigureSkatingSingles
1972,Munich,Cycling1000metresTimeTrial
1984,Los Angeles,Athletics1500metres
1988,Calgary,FigureSkatingMixedPairs
1936,Berlin,RowingCoxlessPairs
1972,Munich,WrestlingWelterweightGrecoRoman
2006,Torino,LugeSingles
2010,Vancouver,LugeSingles
1984,Los Angeles,Swimming200metresFreestyle
1984,Los Angeles,Swimming200metresIndividualMedley
1984,Los Angeles,CyclingIndividualPursuit4000metres
2008,Beijing,FencingepeeIndividual
2012,London,FencingFoilIndividual
2012,London,FencingFoilTeam
2016,Rio de Janeiro,CanoeingCanadianSinglesSlalom
1980,Lake Placid,BobsleighTwo
1920,Antwerpen,WrestlingFeatherweightGrecoRoman
1900,Paris,CyclingPointsRace
1956,Melbourne,SailingMixedTwoPersonHeavyweightDinghy
2016,Rio de Janeiro,SailingOnePersonHeavyweightDinghy
1968,Mexico City,AthleticsDiscusThrow
1972,Munich,AthleticsDiscusThrow
1952,Oslo,FigureSkatingMixedPairs
2004,Athina,BadmintonMixedDoubles
1920,Antwerpen,RowingSingleSculls
1900,Paris,PoloPolo
2004,Athina,Swimming800metresFreestyle
1980,Lake Placid,SpeedSkating5000metres
1980,Lake Placid,SpeedSkating10000metres
2000,Sydney,SailingTwoPersonDinghy
2004,Athina,RowingQuadrupleSculls
1920,Antwerpen,Swimming4x100metresFreestyleRelay
1932,Los Angeles,CyclingRoadRaceTeam
1960,Squaw Valley,SkiJumpingNormalHillIndividual
1936,Berlin,BoxingFlyweight
1924,Paris,WeightliftingLightHeavyweight
1992,Albertville,AlpineSkiingSuperG
1992,Albertville,AlpineSkiingCombined
2004,Athina,Cycling1000metresTimeTrial
1924,Chamonix,FigureSkatingMixedPairs
1932,Los Angeles,Athletics200metres
1980,Moskva,Swimming100metresFreestyle
1932,Los Angeles,BoxingLightHeavyweight
2012,London,GymnasticsHorseVault
1904,St. Louis,BoxingHeavyweight
2014,Sochi,Biathlon75kilometresSprint
2014,Sochi,Biathlon10kilometresPursuit
2014,Sochi,Biathlon125kilometresMassStart
2014,Sochi,Biathlon4x6kilometresRelay
1996,Atlanta,BoxingSuperHeavyweight
1952,Helsinki,ShootingRunningTargetSingleAndDoubleShot
1960,Roma,AthleticsDiscusThrow
2008,Beijing,Swimming10kilometresOpenWater
1988,Seoul,WeightliftingSuperHeavyweight
1952,Oslo,SkiJumpingNormalHillIndividual
1998,Nagano,AlpineSkiingCombined
2014,Sochi,SnowboardingSlopestyle
1924,Paris,BoxingFlyweight
1994,Lillehammer,FigureSkatingMixedIceDancing
2012,London,CanoeingCanadianSingles1000metres
1956,Melbourne,RowingDoubleSculls
1984,Los Angeles,JudoMiddleweight
1952,Helsinki,WrestlingWelterweightFreestyle
1924,Paris,CyclingSprint
1988,Seoul,RowingDoubleSculls
1992,Barcelona,JudoHalfLightweight
1912,Stockholm,Athletics5000metres
1906,Athina,RowingCoxedPairs1mile
1952,Helsinki,WrestlingFeatherweightFreestyle
1956,Melbourne,Athletics110metresHurdles
1928,Amsterdam,Swimming100metresBackstroke
1996,Atlanta,ShootingDoubleTrap
2000,Sydney,Swimming200metresBreaststroke
2008,Beijing,RowingSingleSculls
1928,Amsterdam,RowingSingleSculls
1972,Sapporo,FigureSkatingMixedPairs
1928,Sankt Moritz,SkeletonSkeleton
1928,Amsterdam,CyclingTandemSprint2000metres
1984,Los Angeles,DivingSpringboard
2010,Vancouver,SkeletonSkeleton
2016,Rio de Janeiro,SailingWindsurfer
1920,Antwerpen,FencingFoilIndividual
2010,Vancouver,FreestyleSkiingSkiCross
1996,Atlanta,BeachVolleyballBeachVolleyball
2006,Torino,FigureSkatingSingles
1972,Munich,FencingFoilTeam
2004,Athina,RowingQuadrupleSculls
1932,Los Angeles,ArtCompetitionsMixedUnknownEvent
2016,Rio de Janeiro,AthleticsHammerThrow
1928,Amsterdam,WrestlingLightweightFreestyle
1924,Paris,BoxingHeavyweight
2016,Rio de Janeiro,CyclingOmnium
1908,London,FencingSabreTeam
1964,Tokyo,Athletics800metres
1960,Roma,Athletics80metresHurdles
2014,Sochi,FreestyleSkiingHalfpipe
2012,London,SailingThreePersonKeelboat
1900,Paris,Swimming200metresObstacleCourse
1900,Paris,Swimming200metresTeamSwimming
1996,Atlanta,WrestlingLightFlyweightFreestyle
1956,Melbourne,Athletics80metresHurdles
1964,Tokyo,WrestlingBantamweightGrecoRoman
1928,Amsterdam,Swimming100metresBackstroke
1980,Moskva,Athletics800metres
2012,London,AthleticsHammerThrow
1900,Paris,AthleticsMarathon
1948,London,ArtCompetitionsMixedLiteratureUnknownEvent
1936,Berlin,Athletics200metres
2008,Beijing,DivingSpringboard
1992,Barcelona,WrestlingMiddleweightFreestyle
2012,London,BoxingHeavyweight
1936,Berlin,Athletics3000metresSteeplechase
1920,Antwerpen,SailingMixed12foot
1960,Squaw Valley,AlpineSkiingDownhill
1932,Los Angeles,ArtCompetitionsMixedMusic
1992,Barcelona,BoxingLightMiddleweight
1984,Los Angeles,Swimming100metresButterfly
1984,Los Angeles,Swimming200metresButterfly
2012,London,CanoeingCanadianDoubles1000metres
2004,Athina,JudoLightweight
2012,London,RowingCoxlessPairs
1960,Roma,SailingMixedTwoPersonKeelboat
1976,Montreal,SailingMixedMultihull
1924,Chamonix,SpeedSkating5000metres
1924,Chamonix,SpeedSkating10000metres
1936,Berlin,ArtCompetitionsMixedMusicInstrumentalAndChamber
1948,London,ArtCompetitionsMixedMusicVocals
1948,Sankt Moritz,BobsleighTwo
1932,Los Angeles,SailingMixed8metres
2008,Beijing,RowingCoxlessPairs
1924,Paris,WeightliftingLightweight
1948,London,ArtCompetitionsMixedLiteratureDramaticWorks
1976,Montreal,WeightliftingFeatherweight
1988,Seoul,WrestlingHeavyweightFreestyle
1908,London,JeuDePaumeSingles
2012,London,Swimming400metresFreestyle
2010,Vancouver,SpeedSkating500metres
1960,Squaw Valley,CrossCountrySkiing3x5kilometresRelay
1956,Melbourne,WrestlingFeatherweightGrecoRoman
1972,Sapporo,SpeedSkating500metres
1972,Sapporo,SpeedSkating1000metres
1928,Amsterdam,WeightliftingLightHeavyweight
1996,Atlanta,RowingQuadrupleSculls
1984,Los Angeles,RowingSingleSculls
1964,Tokyo,AthleticsPentathlon
1980,Moskva,Swimming200metresBreaststroke
2002,Salt Lake City,SpeedSkating5000metres
1992,Barcelona,RowingSingleSculls
1964,Tokyo,Athletics20kilometresWalk
1992,Barcelona,ShootingAirRifle10metres
1992,Barcelona,ShootingSmallBoreRifleThreePositions50metres
1900,Paris,SailingMixed1020Ton
1904,St. Louis,AthleticsStandingHighJump
1904,St. Louis,AthleticsStandingLongJump
1904,St. Louis,AthleticsDiscusThrow
1904,St. Louis,Cycling13mile
1904,St. Louis,Cycling1mile
1904,St. Louis,Cycling2mile
1952,Helsinki,WeightliftingBantamweight
1948,London,ArtCompetitionsMixedSculpturingMedalsAndPlaques
1980,Moskva,CyclingIndividualPursuit4000metres
1980,Moskva,CyclingTeamPursuit4000metres
1928,Amsterdam,ArtCompetitionsMixedLiteratureLyricWorks
1908,London,SailingMixed7metres
1976,Montreal,Athletics110metresHurdles
1976,Montreal,RowingSingleSculls
1928,Amsterdam,BoxingFeatherweight
1980,Moskva,RowingCoxedFours
1936,Berlin,WrestlingFeatherweightGrecoRoman
1988,Calgary,AlpineSkiingCombined
1936,Berlin,Swimming400metresFreestyle
1988,Seoul,WrestlingFlyweightFreestyle
1948,London,AthleticsShotPut
1980,Moskva,AthleticsJavelinThrow
2000,Sydney,FencingFoilTeam
1976,Montreal,RowingQuadrupleSculls
1948,London,WeightliftingLightHeavyweight
2004,Athina,RowingLightweightDoubleSculls
2008,Beijing,RowingLightweightDoubleSculls
1996,Atlanta,Athletics1500metres
1932,Los Angeles,GymnasticsHorizontalBar
2010,Vancouver,SkeletonSkeleton
1928,Amsterdam,BoxingBantamweight
1980,Moskva,SailingMixedMultihull
1908,London,Athletics1600metresMedleyRelay
2012,London,SailingTwoPersonKeelboat
1972,Sapporo,SpeedSkating500metres
1900,Paris,CroquetMixedSinglesTwoBalls
1980,Moskva,AthleticsHammerThrow
1976,Montreal,Athletics5000metres
1960,Roma,Swimming400metresFreestyle
1908,London,RowingSingleSculls
1920,Antwerpen,ArtCompetitionsMixedLiterature
1936,Berlin,CanoeingFoldingKayakDoubles10kilometres
1984,Sarajevo,SpeedSkating500metres
1904,St. Louis,Athletics60metres
1904,St. Louis,Athletics100metres
1904,St. Louis,Athletics400metres
1932,Los Angeles,ArtCompetitionsMixedPaintingDrawingsAndWaterColors
1992,Barcelona,Swimming50metresFreestyle
1960,Roma,RowingCoxlessPairs
1964,Tokyo,RowingCoxlessPairs
1896,Athina,Athletics1500metres
1984,Los Angeles,WeightliftingHeavyweightI
1988,Seoul,WeightliftingHeavyweightI
2002,Salt Lake City,SnowboardingParallelGiantSlalom
2006,Torino,SnowboardingParallelGiantSlalom
2008,Beijing,TrampoliningIndividual
1900,Paris,SailingMixed23Ton
1976,Montreal,WeightliftingMiddleHeavyweight
2012,London,JudoExtraLightweight
1984,Los Angeles,JudoOpenClass
1928,Amsterdam,AthleticsTripleJump
1948,London,Athletics200metres
1968,Grenoble,SpeedSkating500metres
2008,Beijing,Swimming10kilometresOpenWater
1980,Moskva,CanoeingCanadianSingles500metres
2012,London,Athletics10000metres
2010,Vancouver,SnowboardingHalfpipe
1968,Grenoble,SpeedSkating5000metres
1972,Sapporo,SpeedSkating10000metres
1956,Melbourne,CanoeingKayakDoubles10000metres
2000,Sydney,BoxingBantamweight
2000,Sydney,EquestrianismMixedDressageIndividual
2000,Sydney,EquestrianismMixedDressageTeam
1920,Antwerpen,Swimming100metresBackstroke
1932,Los Angeles,FencingFoilIndividual
1932,Los Angeles,FencingSabreIndividual
2000,Sydney,Cycling1000metresTimeTrial
1900,Paris,Swimming200metresBackstroke
2014,Sochi,SpeedSkatingTeamPursuit8laps
1900,Paris,AthleticsLongJump
1924,Chamonix,SpeedSkating500metres
1924,Chamonix,SpeedSkatingAllround
1980,Moskva,Cycling1000metresTimeTrial
1924,Chamonix,SpeedSkating1500metres
1924,Paris,AthleticsJavelinThrow
1920,Antwerpen,ShootingMilitaryRifleProne600metres
1952,Helsinki,CanoeingCanadianDoubles1000metres
1952,Helsinki,CanoeingCanadianDoubles10000metres
1936,Berlin,Swimming100metresBackstroke
2014,Sochi,SpeedSkatingTeamPursuit6laps
2008,Beijing,AthleticsHeptathlon
1948,London,WeightliftingMiddleweight
1984,Los Angeles,RowingDoubleSculls
1908,London,WrestlingLightweightGrecoRoman
1996,Atlanta,CanoeingKayakSinglesSlalom
1998,Nagano,FreestyleSkiingAerials
1976,Montreal,BoxingFlyweight
1964,Tokyo,ShootingSmallBoreRifleProne50metres
1900,Paris,Athletics100metres
1900,Paris,Athletics400metres
1928,Amsterdam,RowingDoubleSculls
1948,London,CanoeingKayakSingles10000metres
1980,Lake Placid,FigureSkatingSingles
1932,Los Angeles,EquestrianismJumpingIndividual
1932,Los Angeles,EquestrianismJumpingTeam
2010,Vancouver,SnowboardingParallelGiantSlalom
2014,Sochi,SnowboardingParallelGiantSlalom
2014,Sochi,SnowboardingParallelSlalom
1912,Stockholm,ShootingDuelingPistol30metresTeam
1952,Oslo,CrossCountrySkiing18kilometres
1952,Oslo,NordicCombinedIndividual
1936,Berlin,WrestlingFeatherweightFreestyle
1960,Roma,AthleticsDecathlon
1960,Squaw Valley,FigureSkatingSingles
1896,Athina,GymnasticsHorseVault
1896,Athina,GymnasticsParallelBars
1896,Athina,GymnasticsParallelBarsTeams
1896,Athina,GymnasticsHorizontalBar
1896,Athina,GymnasticsHorizontalBarTeams
1896,Athina,GymnasticsRings
1896,Athina,GymnasticsPommelledHorse
1924,Chamonix,FigureSkatingSingles
2002,Salt Lake City,SpeedSkating10000metres
1976,Montreal,AthleticsPentathlon
1912,Stockholm,Athletics400metres
1912,Stockholm,Athletics4x400metresRelay
1928,Amsterdam,Athletics800metres
1976,Montreal,RowingDoubleSculls
1900,Paris,ShootingFreePistol50metres
1900,Paris,ShootingFreePistol50metresTeam
1932,Los Angeles,RowingDoubleSculls
1956,Melbourne,FencingSabreTeam
1952,Helsinki,DivingPlatform
1928,Amsterdam,WrestlingLightHeavyweightFreestyle
1972,Munich,WrestlingFlyweightGrecoRoman
1964,Tokyo,AthleticsShotPut
1964,Tokyo,CanoeingCanadianDoubles1000metres
1936,Berlin,ArtCompetitionsMixedPaintingAppliedArts
1980,Lake Placid,LugeSingles
2014,Sochi,FreestyleSkiingSkiCross
1976,Innsbruck,FigureSkatingSingles
2004,Athina,DivingPlatform
2008,Beijing,Athletics400metresHurdles
1900,Paris,FencingSabreIndividual
1994,Lillehammer,FigureSkatingSingles
1912,Stockholm,ShootingSmallBoreRifleDisappearingTarget25metresTeam
1912,Stockholm,AthleticsDiscusThrow
1964,Tokyo,EquestrianismMixedDressageIndividual
1964,Tokyo,EquestrianismMixedDressageTeam
1976,Montreal,EquestrianismMixedDressageIndividual
1976,Montreal,EquestrianismMixedDressageTeam
1928,Amsterdam,WrestlingMiddleweightFreestyle
1956,Cortina d'Ampezzo,SkiJumpingNormalHillIndividual
2008,Beijing,TableTennisTeam
1928,Amsterdam,ArtCompetitionsMixedSculpturingMedalsAndReliefs
1952,Helsinki,AthleticsLongJump
1952,Helsinki,AthleticsShotPut
1984,Los Angeles,Swimming1500metresFreestyle
1904,St. Louis,BoxingLightweight
1968,Grenoble,SpeedSkating10000metres
1948,London,ArtCompetitionsMixedArchitectureArchitecturalDesigns
1932,Los Angeles,EquestrianismDressageIndividual
1932,Los Angeles,EquestrianismDressageTeam
1948,London,EquestrianismDressageIndividual
1948,London,EquestrianismDressageTeam
1952,Helsinki,EquestrianismMixedDressageIndividual
1952,Helsinki,EquestrianismMixedDressageTeam
1956,Stockholm,EquestrianismMixedDressageIndividual
1956,Stockholm,EquestrianismMixedDressageTeam
1928,Amsterdam,RowingCoxlessPairs
1992,Albertville,FigureSkatingSingles
1924,Paris,WrestlingMiddleweightFreestyle
2016,Rio de Janeiro,CyclingBMX
1996,Atlanta,Cycling1000metresTimeTrial
2012,London,ShootingRapidFirePistol25metres
1928,Amsterdam,EquestrianismDressageIndividual
1928,Amsterdam,EquestrianismDressageTeam
1936,Berlin,CanoeingKayakDoubles1000metres
1976,Montreal,CanoeingKayakSingles500metres
2004,Athina,CanoeingKayakSinglesSlalom
2008,Beijing,CanoeingKayakSinglesSlalom
1904,St. Louis,Athletics800metres
1906,Athina,Athletics1500metresWalk
1908,London,Athletics3mileTeam
1948,London,RowingCoxlessPairs
1932,Los Angeles,ShootingRapidFirePistol25metres
2012,London,WrestlingLightweightFreestyle
1992,Barcelona,Swimming400metresIndividualMedley
1932,Los Angeles,GymnasticsPommelledHorse
1996,Atlanta,CanoeingKayakSingles1000metres
1996,Atlanta,CanoeingCanadianSinglesSlalom
1956,Cortina d'Ampezzo,FigureSkatingSingles
2008,Beijing,BoxingLightWelterweight
1984,Sarajevo,SpeedSkating1000metres
1988,Calgary,AlpineSkiingDownhill
1908,London,TennisSingles
1996,Atlanta,CanoeingKayakSingles500metres
2000,Sydney,CanoeingKayakSingles500metres
1980,Lake Placid,SpeedSkating500metres
1984,Los Angeles,AthleticsDecathlon
1998,Nagano,AlpineSkiingDownhill
1928,Amsterdam,DivingSpringboard
2008,Beijing,SailingTwoPersonKeelboat
1906,Athina,Swimming400metresFreestyle
1992,Barcelona,JudoExtraLightweight
2000,Sydney,Swimming100metresButterfly
2004,Athina,Swimming100metresButterfly
2006,Torino,ShortTrackSpeedSkating1000metres
2010,Vancouver,ShortTrackSpeedSkating500metres
2014,Sochi,ShortTrackSpeedSkating500metres
2000,Sydney,RowingDoubleSculls
2008,Beijing,RowingQuadrupleSculls
1964,Tokyo,JudoOpenClass
1932,Los Angeles,GymnasticsIndividualAllAround
1932,Los Angeles,GymnasticsTeamAllAround
1932,Los Angeles,GymnasticsFloorExercise
1932,Los Angeles,GymnasticsHorseVault
1932,Los Angeles,ArtCompetitionsMixedPaintingPaintings
2000,Sydney,ShootingTrap
1928,Amsterdam,AthleticsDiscusThrow
1936,Berlin,ArtCompetitionsMixedSculpturingMedals
1906,Athina,ShootingMilitaryRifleKneelingOrStanding300metres
1956,Melbourne,AthleticsLongJump
1928,Amsterdam,SailingMixed8metres
1924,Paris,CyclingTandemSprint2000metres
1936,Berlin,Athletics110metresHurdles
1928,Amsterdam,ArtCompetitionsMixedMusicCompositionsForOrchestra
1924,Paris,RowingDoubleSculls
1956,Melbourne,CanoeingCanadianSingles1000metres
1912,Stockholm,ShootingFreePistol50metresTeam
1908,London,TennisSinglesCoveredCourts
1956,Melbourne,CanoeingCanadianDoubles1000metres
1956,Melbourne,CanoeingCanadianDoubles10000metres
1968,Mexico City,RowingCoxlessPairs
1980,Moskva,WrestlingBantamweightGrecoRoman
1996,Atlanta,Swimming200metresBackstroke
1984,Los Angeles,CanoeingCanadianDoubles500metres
1984,Los Angeles,CanoeingCanadianDoubles1000metres
2004,Athina,BadmintonDoubles
2008,Beijing,BadmintonDoubles
1936,Berlin,Swimming200metresBreaststroke
1980,Lake Placid,SpeedSkating500metres
1984,Sarajevo,SpeedSkating500metres
1984,Sarajevo,SpeedSkating1000metres
1920,Antwerpen,EquestrianismVaultingTeam
2016,Rio de Janeiro,CyclingOmnium
2016,Rio de Janeiro,DivingSynchronizedPlatform
2008,Beijing,WrestlingHeavyweightGrecoRoman
2004,Athina,CanoeingKayakSinglesSlalom
2008,Beijing,CanoeingKayakSinglesSlalom
2008,Beijing,Swimming200metresButterfly
1992,Barcelona,BoxingLightWelterweight
1924,Paris,WrestlingBantamweightFreestyle
2000,Sydney,TrampoliningIndividual
1932,Los Angeles,Swimming100metresBackstroke
2008,Beijing,RowingCoxlessPairs
1992,Albertville,AlpineSkiingDownhill
1994,Lillehammer,AlpineSkiingSuperG
1908,London,BoxingLightweight
1994,Lillehammer,AlpineSkiingDownhill
2002,Salt Lake City,ShortTrackSpeedSkating500metres
2002,Salt Lake City,ShortTrackSpeedSkating1000metres
2002,Salt Lake City,ShortTrackSpeedSkating1500metres
1920,Antwerpen,BoxingBantamweight
1960,Roma,AthleticsShotPut
2006,Torino,SpeedSkating500metres
1956,Melbourne,BoxingLightHeavyweight
1924,Paris,Athletics5000metres
1972,Munich,AthleticsPoleVault
2008,Beijing,FencingFoilTeam
1952,Helsinki,WrestlingFeatherweightGrecoRoman
1906,Athina,ShootingFreeRifleThreePositions300metresTeam
1906,Athina,ShootingFreeRifleAnyPosition300metres
1906,Athina,ShootingMilitaryRifle18731874GrasModelKneelingOrStanding200metres
2016,Rio de Janeiro,WeightliftingBantamweight
1904,St. Louis,Swimming100YardBackstroke
1904,St. Louis,Swimming440YardBreaststroke
1976,Montreal,WrestlingSuperHeavyweightGrecoRoman
1920,Antwerpen,BoxingMiddleweight
1994,Lillehammer,FreestyleSkiingAerials
1952,Helsinki,AthleticsHighJump
1992,Barcelona,RowingSingleSculls
1900,Paris,RowingCoxedPairs
1992,Barcelona,WrestlingFlyweightGrecoRoman
1956,Melbourne,AthleticsShotPut
2012,London,FencingepeeTeam
1984,Los Angeles,RowingSingleSculls
1932,Los Angeles,AthleticsHighJump
