Year,Event,Gender
1972,Swimming400metresFreestyle,M
1972,Swimming4x100metresFreestyleRelay,M
1972,Swimming4x200metresFreestyleRelay,M
1972,Swimming4x100metresMedleyRelay,M
1998,AlpineSkiingGiantSlalom,F
2014,AlpineSkiingSuperG,F
2014,AlpineSkiingGiantSlalom,F
1988,Athletics4x100metresRelay,M
2016,Swimming50metresFreestyle,M
2016,Swimming4x100metresFreestyleRelay,M
1988,CrossCountrySkiing5kilometres,F
1988,CrossCountrySkiing10kilometres,F
1988,CrossCountrySkiing20kilometres,F
1984,Athletics400metresHurdles,M
1984,Athletics4x400metresRelay,M
1968,CyclingRoadRaceIndividual,M
1968,CyclingSprint,M
1968,Cycling1000metresTimeTrial,M
1968,CyclingIndividualPursuit4000metres,M
1972,CyclingIndividualPursuit4000metres,M
1972,WrestlingWelterweightFreestyle,M
2000,HandballHandball,M
2000,WrestlingBantamweightGrecoRoman,M
1948,FootballFootball,M
2000,Athletics400metresHurdles,M
1948,BasketballBasketball,M
1948,FencingSabreIndividual,M
1948,FencingSabreTeam,M
1988,BoxingLightFlyweight,M
2004,AthleticsTripleJump,M
2008,AthleticsTripleJump,M
1992,BoxingBantamweight,M
1988,AthleticsTripleJump,M
1984,BoxingWelterweight,M
1984,WrestlingBantamweightFreestyle,M
2012,Athletics5000metres,M
2012,FencingFoilIndividual,M
2012,FencingFoilTeam,M
2016,FencingFoilIndividual,M
2016,FencingFoilTeam,M
1968,DivingPlatform,M
2004,JudoHalfMiddleweight,M
1956,HockeyHockey,M
1972,Athletics110metresHurdles,M
1996,HandballHandball,F
1912,AthleticsDecathlon,M
1936,GymnasticsIndividualAllAround,M
1936,GymnasticsTeamAllAround,M
1936,GymnasticsFloorExercise,M
1936,GymnasticsHorseVault,M
1936,GymnasticsParallelBars,M
1936,GymnasticsHorizontalBar,M
1936,GymnasticsRings,M
1936,GymnasticsPommelledHorse,M
1988,CanoeingKayakDoubles500metres,M
1988,CanoeingKayakFours1000metres,M
1992,CanoeingKayakFours1000metres,M
1906,GymnasticsTeamAllAround,M
1976,Swimming100metresBackstroke,M
1976,Swimming4x100metresMedleyRelay,M
1980,Swimming100metresBackstroke,M
1980,Swimming4x100metresMedleyRelay,M
2016,RowingLightweightDoubleSculls,F
1984,Athletics800metres,F
1984,Athletics4x400metresRelay,F
1988,Athletics800metres,F
