Athlete_ID,NOC
1314,Cameroon
1315,Cameroon
1316,Cameroon
1317,Cameroon
1318,Cameroon
1319,Cameroon
1320,Cameroon
1321,Cameroon
1322,Cameroon
1323,Cameroon
1324,Cameroon
1325,Cook Islands
1326,Cook Islands
1327,Cook Islands
1328,Colombia
1329,Colombia
1330,Colombia
1331,Colombia
1332,Colombia
1333,Colombia
1334,Colombia
1335,Colombia
1336,Colombia
1337,Colombia
1338,Colombia
1339,Colombia
1340,Colombia
1341,Colombia
1342,Colombia
1343,Colombia
1344,Colombia
1345,Colombia
1346,Colombia
1347,Colombia
1348,Colombia
1349,Canada
1350,Netherlands
1351,Netherlands
1352,United States
1353,United States
1354,Australia
1355,Chinese Taipei
1356,People's Republic of China
1357,Chinese Taipei
1358,Chinese Taipei
1359,Chinese Taipei
1360,Chinese Taipei
1361,Canada
1362,Australia
1363,United States
1364,Puerto Rico
1365,Australia
1366,Netherlands
1367,Netherlands
1368,Australia
1369,Canada
1370,Puerto Rico
1371,Australia
1372,United States
1373,Canada
1374,Japan
1375,Japan
1376,Netherlands
1377,Puerto Rico
1378,United States
1379,Chinese Taipei
1380,Japan
1381,Australia
1382,United States
1383,United States
1384,People's Republic of China
1385,Australia
1386,Japan
1387,Canada
1388,Netherlands
1389,Japan
1390,Japan
1391,Netherlands
1392,Netherlands
1393,Puerto Rico
1394,Chinese Taipei
1395,People's Republic of China
1396,Australia
1397,People's Republic of China
1398,People's Republic of China
1399,Chinese Taipei
1400,Chinese Taipei
1401,People's Republic of China
1402,United States
1403,Puerto Rico
1404,Japan
1405,Canada
1406,Australia
1407,Canada
1408,Australia
1409,Netherlands
1410,Puerto Rico
1411,Puerto Rico
1412,Japan
1413,Canada
1414,Netherlands
1415,United States
1416,Netherlands
1417,Puerto Rico
1418,People's Republic of China
1419,Chinese Taipei
1420,Netherlands
1421,Puerto Rico
1422,Canada
1423,Australia
1424,Netherlands
1425,Australia
1426,United States
1427,Australia
1428,Puerto Rico
1429,Puerto Rico
1430,Japan
1431,Puerto Rico
1432,Canada
1433,United States
1434,United States
1435,Canada
1436,Canada
1437,Puerto Rico
1438,Canada
1439,Netherlands
1440,United States
1441,Japan
1442,People's Republic of China
1443,Canada
1444,Japan
1445,Chinese Taipei
1446,Chinese Taipei
1447,United States
1448,Canada
1449,Netherlands
1450,Puerto Rico
1451,People's Republic of China
1452,People's Republic of China
1453,Chinese Taipei
1454,Australia
1455,Japan
1456,Japan
1457,People's Republic of China
1458,Australia
1459,United States
1460,People's Republic of China
1461,Japan
1462,People's Republic of China
1463,Chinese Taipei
1464,Chinese Taipei
1465,People's Republic of China
1466,Australia
1467,Australia
1468,Australia
1469,Australia
1470,Australia
1471,Australia
1472,Australia
1473,Australia
1474,Australia
1475,Australia
1476,Australia
1477,Australia
1478,Australia
1479,Australia
1480,Australia
1481,Australia
1482,Australia
1483,Australia
1484,Australia
1485,Australia
1486,Cuba
1487,Cuba
1488,Cuba
1489,Cuba
1490,Cuba
1491,Cuba
1492,Cuba
1493,Cuba
1494,Cuba
1495,Cuba
1496,Cuba
1497,Cuba
1498,Cuba
1499,Cuba
1500,Cuba
1501,Cuba
1502,Cuba
1503,Cuba
1504,Cuba
1505,Cuba
1506,Cuba
1507,Cuba
1508,Cuba
1509,Cuba
1510,Cuba
1511,Cuba
1512,Cuba
1513,Cuba
1514,Cuba
1515,Cuba
1516,Cuba
1517,Dominican Republic
1518,Dominican Republic
1519,Dominican Republic
1520,Dominican Republic
1521,Dominican Republic
1522,Dominican Republic
1523,Dominican Republic
1524,Dominican Republic
1525,Dominican Republic
1526,Dominican Republic
1527,Dominican Republic
1528,Dominican Republic
1529,Dominican Republic
1530,Dominican Republic
1531,Dominican Republic
1532,Dominican Republic
1533,Dominican Republic
1534,Dominican Republic
1535,Dominican Republic
1536,Dominican Republic
1537,Spain
1538,Spain
1539,Spain
1540,Spain
1541,Spain
1542,Spain
1543,Spain
1544,Spain
1545,Spain
1546,Spain
1547,Spain
1548,Spain
1549,Spain
1550,Spain
1551,Spain
1552,Spain
1553,Spain
1554,Spain
1555,Spain
1556,Spain
1557,Italy
1558,Italy
1559,Italy
1560,Italy
1561,Italy
1562,Italy
1563,Italy
1564,Italy
1565,Italy
1566,Italy
1567,Italy
1568,Italy
1569,Italy
1570,Italy
1571,Italy
1572,Italy
1573,Italy
1574,Italy
1575,Italy
1576,Italy
1577,Italy
1578,Italy
1579,Italy
1580,Italy
1581,Italy
1582,Italy
1583,Italy
1584,Italy
1585,Italy
1586,Italy
1587,Italy
1588,Italy
1589,Japan
1590,Japan
1591,Japan
1592,Japan
1593,Japan
1594,Japan
1595,Japan
1596,Japan
1597,Japan
