Event,Discipline
Closestlandingtotarget3IntermediatestopOpenOlympicnonmedal,Ballooning (Air Sports)
Closestlandingtotarget3FinalstopOpenOlympicnonmedal,Ballooning (Air Sports)
EquestrianDrivingEquestrian,Ballooning (Air Sports)
FourInHandCompetitionOpenOlympic,Ballooning (Air Sports)
MixedSports,Freestyle Skiing (Skiing)
FreestyleSnowboardRelayMixedYouthYOG,Freestyle Skiing (Skiing)
SprintGirlsYOG,Ski Mountaineering
RelayMixedYouthYOG,Ski Mountaineering
IndividualGirlsYOG,Ski Mountaineering
SkiCrossBoysYOG,Freestyle Skiing (Skiing)
SkiCrossGirlsYOG,Alpine Skiing (Skiing)
MixedSports,Alpine Skiing (Skiing)
FreestyleSnowboardRelayMixedYouthYOG,Alpine Skiing (Skiing)
MonobobGirlsYOG,Bobsleigh (Bobsleigh)
10kilometresGirlsYOG,Biathlon
125kilometresBoysYOG,Biathlon
SprintGirlsYOG,Biathlon
5kilometresGirlsYOG,Biathlon
CrossGirlsYOG,Biathlon
SprintBoysYOG,Biathlon
10kilometresBoysYOG,Biathlon
CrossBoysYOG,Biathlon
BigAirBoysYOG,Freestyle Skiing (Skiing)
3on3IceHockeyBoysYOG,3-on-3 Ice Hockey (Ice Hockey)
3on3IceHockeyGirlsYOG,3-on-3 Ice Hockey (Ice Hockey)
IceHockeyBoysYOG,Ice Hockey (Ice Hockey)
3on3IceHockeyIceHockey,Ice Hockey (Ice Hockey)
3on3IceHockeyGirlsYOG,Ice Hockey (Ice Hockey)
DoublesBoysYOG,Luge
DoublesGirlsYOG,Luge
NormalHill6kmIndividualBoysYOG,Nordic Combined (Skiing)
NormalHillTeamMixedYouthYOG,Nordic Combined (Skiing)
NormalHill4kmIndividualGirlsYOG,Nordic Combined (Skiing)
NormalHillIndividualGirlsYOG,Ski Jumping (Skiing)
NormalHillTeamMixedYouthYOG,Ski Jumping (Skiing)
NormalHill4kmIndividualGirlsYOG,Ski Jumping (Skiing)
MixedSports,Ski Jumping (Skiing)
CrossCountrySkiingSkiJumpingNordicCombinedTeamMixedYouthYOG,Ski Jumping (Skiing)
MixedSports,Nordic Combined (Skiing)
CrossCountrySkiingSkiJumpingNordicCombinedTeamMixedYouthYOG,Nordic Combined (Skiing)
NormalHill6kmIndividualBoysYOG,Ski Jumping (Skiing)
MixedSports,Snowboarding (Skiing)
FreestyleSnowboardRelayMixedYouthYOG,Snowboarding (Skiing)
BigAirGirlsYOG,Snowboarding (Skiing)
BigAirBoysYOG,Snowboarding (Skiing)
CrossGirlsYOG,Snowboarding (Skiing)
SprintBoysYOG,Ski Mountaineering
IndividualBoysYOG,Ski Mountaineering
Kumite61kgOlympic,Karate
ShortboardOlympic,Surfing
ParkOlympic,Cycling BMX Freestyle (Cycling)
CanadianSingles200metresOlympic,Canoe Sprint (Canoeing)
CanadianDoubles500metresOlympic,Canoe Sprint (Canoeing)
CombinedOlympic,Sport Climbing
StreetOlympic,Skateboarding (Roller Sports)
ParkOlympic,Skateboarding (Roller Sports)
ShortboardOlympic,Surfing
ParkOlympic,Cycling BMX Freestyle (Cycling)
CombinedOlympic,Sport Climbing
Kumite75kgOlympic,Karate
StreetOlympic,Skateboarding (Roller Sports)
Kumite55kgOlympic,Karate
Kumite67kgOlympic,Karate
3x3BasketballOlympic,3x3 Basketball (Basketball)
Kumite75kgOlympic,Karate
3x3BasketballOlympic,3x3 Basketball (Basketball)
FootballGirlsYOG,Football (Football)
Kumite61kgOlympic,Karate
KataOlympic,Karate
KataOlympic,Karate
IndividualBoysYOG,Golf
RoadRaceIndividualOlympic,Cycling Track (Cycling)
NormalHillTeamMixedOlympic,Nordic Combined (Skiing)
CombinedBoysYOG,Roller Skating (Roller Sports)
SlalomOlympic,
