Event,Discipline
1000metresTimeTrialOlympic,Cycling Track (Cycling)
PointsRaceOlympic,Cycling Track (Cycling)
MadisonOlympic,Cycling Track (Cycling)
50kilometresOlympic,Cycling Track (Cycling)
TeamPursuit4000metresOlympic,Cycling Road (Cycling)
TandemSprint2000metresOlympic,Cycling Track (Cycling)
TeamPursuit1980yardsOlympic,Cycling Track (Cycling)
5000metresOlympic,Cycling Track (Cycling)
100kilometresOlympic,Cycling Track (Cycling)
IndividualTimeTrialOlympic,Cycling Road (Cycling)
mileOlympic,Cycling Track (Cycling)
mileOlympic,Cycling Track (Cycling)
5milesOlympic,Cycling Track (Cycling)
25milesOlympic,Cycling Track (Cycling)
mileHandicapOlympicnonmedal,Cycling Track (Cycling)
CrossCountryOlympic,Cycling Mountain Bike (Cycling)
333metresTimeTrialOlympic,Cycling Road (Cycling)
100kilometresOlympic,Cycling Road (Cycling)
TeamSprintOlympic,Cycling Track (Cycling)
mileOlympic,Cycling Track (Cycling)
1mileOlympic,Cycling Track (Cycling)
2milesOlympic,Cycling Track (Cycling)
1mileNoviceOlympicnonmedal,Cycling Track (Cycling)
TandemSprint2000metresOlympic,Cycling Road (Cycling)
SprintIntercalated,Cycling Track (Cycling)
333metresTimeTrialIntercalated,Cycling Track (Cycling)
5000metresIntercalated,Cycling Track (Cycling)
20kilometresIntercalated,Cycling Track (Cycling)
50kilometresOlympic,Cycling Road (Cycling)
KeirinOlympic,Cycling Track (Cycling)
MadisonOlympic,Cycling Road (Cycling)
OmniumOlympic,Cycling Track (Cycling)
25kilometresOlympic,Cycling Track (Cycling)
FootballOlympic,Football (Football)
CyclingTrackCycling,Football (Football)
SprintOlympic,Football (Football)
SingleScullsIntercalated,Rowing
CoxedPairs1kilometreIntercalated,Rowing
CoxedPairs1mileIntercalated,Rowing
CoxedFoursIntercalated,Rowing
CyclingTrackCycling,Rowing
SprintIntercalated,Rowing
5000metresIntercalated,Rowing
10000metresOlympic,Cycling Road (Cycling)
CrossCountryOlympic,Cycling Road (Cycling)
1mileHandicapOlympicnonmedal,Cycling Track (Cycling)
5milesHandicapOlympicnonmedal,Cycling Track (Cycling)
RoadRaceIndividualIntercalated,Cycling Road (Cycling)
SprintIntercalated,Cycling Road (Cycling)
333metresTimeTrialIntercalated,Cycling Road (Cycling)
TandemSprint2000metresIntercalated,Cycling Road (Cycling)
5000metresIntercalated,Cycling Road (Cycling)
12HoursRaceOlympic,Cycling Road (Cycling)
20kilometresIntercalated,Cycling Road (Cycling)
12HoursRaceOlympic,Cycling Track (Cycling)
TandemSprint2000metresIntercalated,Cycling Track (Cycling)
BicyclePoloOlympicnonmedal,Bicycle Polo (Cycling)
Athletics,Cycling Road (Cycling)
4100metresRelayOlympic,Cycling Road (Cycling)
18kilometresOlympic,Cross Country Skiing (Skiing)
50kilometresOlympic,Cross Country Skiing (Skiing)
CyclingRoadCycling,Fencing
RoadRaceIndividualOlympic,Fencing
CyclingTrackCycling,Fencing
333metresTimeTrialOlympic,Fencing
10000metresOlympic,Fencing
100kilometresOlympic,Fencing
12HoursRaceOlympic,Fencing
HockeyOlympic,Hockey
400metresOlympic,Athletics
4400metresRelayOlympic,Athletics
SinglesOlympic,Racquets
TwoOlympic,Bobsleigh (Bobsleigh)
PoloOlympicnonmedal,Polo
CricketOlympic,Cricket
SinglesOneBallOpenOlympic,Croquet
DoublesOpenOlympic,Croquet
SinglesTwoBallsOpenOlympic,Croquet
SinglesTwoBallsHandicapOlympicnonmedal,Croquet
IndividualOlympic,Golf
AClassOpenOpenOlympic,Motorboating
TugOfWar,Rugby (Rugby)
TugOfWarOlympic,Rugby (Rugby)
Athletics,Rugby (Rugby)
200metresHurdlesOlympic,Rugby (Rugby)
DiscusThrowOlympic,Rugby (Rugby)
Athletics,Tug-Of-War
ShotPutHandicapOlympicnonmedal,Tug-Of-War
FoilIndividualOlympic,Fencing
BClassUnder60feetOpenOlympic,Motorboating
CClassOpenOlympic,Motorboating
DoublesOlympic,Racquets
Racquets,Jeu De Paume
DoublesOlympic,Jeu De Paume
Wrestling,Tug-Of-War
HeavyweightGrecoRomanOlympic,Tug-Of-War
HeavyweightFreestyleOlympic,Tug-Of-War
TugOfWar,Boxing
TugOfWarOlympic,Boxing
100metresOlympic,Rugby (Rugby)
400metresOlympic,Rugby (Rugby)
Weightlifting,Tug-Of-War
UnlimitedTwoHandsOlympic,Tug-Of-War
MarathonIntercalated,Athletics
ShotPutIntercalated,Athletics
DiscusThrowIntercalated,Athletics
DiscusThrowGreekStyleIntercalated,Athletics
PentathlonAncientIntercalated,Athletics
Weightlifting,Athletics
UnlimitedTwoHandsIntercalated,Athletics
DrivingContestOlympicnonmedal,Golf
PuttingContestOlympicnonmedal,Golf
56poundWeightThrowOlympic,Tug-Of-War
ShotPutOlympic,Athletics
ShotPutHandicapOlympicnonmedal,Athletics
TugOfWar,Athletics
TugOfWarOlympic,Athletics
LightweightFreestyleOlympic,Tug-Of-War
HighJumpOlympicnonmedal,Athletics
HighJumpHandicapOlympicnonmedal,Athletics
AllAroundDumbbellContestOlympic,Tug-Of-War
56poundWeightThrowOlympic,Athletics
56poundWeightThrowOlympicnonmedal,Athletics
DiscusThrowOlympic,Athletics
DiscusThrowOlympicnonmedal,Athletics
HammerThrowOlympic,Athletics
DiscusThrowHandicapOlympicnonmedal,Athletics
HammerThrowHandicapOlympicnonmedal,Athletics
JavelinThrowOlympic,Athletics
JavelinThrowBothHandsOlympic,Athletics
4100metresRelayOlympic,Athletics
Hockey,Athletics
HockeyOlympic,Athletics
Athletics,Hockey
3000metresSteeplechaseOlympic,Hockey
LacrosseOlympicnonmedal,Lacrosse
FoilIndividualOlympic,Fencing
FoilTeamOlympic,Fencing
peIndividualOlympic,Fencing
peTeamOlympic,Fencing
FoilTeamOlympic,Fencing
peTeamOlympic,Fencing
100metresFreestyleOlympic,Swimming (Aquatics)
500metresFreestyleOlympic,Swimming (Aquatics)
SabreIndividualThreeHitsOlympic,Fencing
SabreMastersIndividualOlympic,Fencing
ModernPentathlon,Fencing
FoilIndividualOpenOlympicnonmedal,Fencing
400metresFreestyleOlympic,Swimming (Aquatics)
WaterPoloAquatics,Swimming (Aquatics)
WaterPoloOlympic,Swimming (Aquatics)
WaterPoloAquatics,Fencing
WaterPoloOlympic,Fencing
Hockey,Fencing
HockeyOlympic,Fencing
IceHockeyOlympic,Ice Hockey (Ice Hockey)
FoilMastersIndividualOlympic,Fencing
peMastersIndividualOlympic,Fencing
peMastersandAmateursIndividualOlympic,Fencing
25kilometresOlympic,Fencing
LiteratureOpenOlympic,Art Competitions
FreePistol50yardsOlympic,Shooting
SmallBoreRifle50and100yardsTeamOlympic,Shooting
Athletics,Fencing
100metresProfessionalsOlympicnonmedal,Fencing
400metresProfessionalsOlympicnonmedal,Fencing
110metresHurdlesProfessionalsOlympicnonmedal,Fencing
HighJumpProfessionalsOlympicnonmedal,Fencing
LongJumpProfessionalsOlympicnonmedal,Fencing
ShotPutProfessionalsOlympicnonmedal,Fencing
100metresProfessionalsHandicapOlympicnonmedal,Fencing
400metresProfessionalsHandicapOlympicnonmedal,Fencing
HighJumpProfessionalsHandicapOlympicnonmedal,Fencing
LongJumpProfessionalsHandicapOlympicnonmedal,Fencing
ShotPutProfessionalsHandicapOlympicnonmedal,Fencing
Rowing,Fencing
EightsOlympic,Fencing
PaintingPaintingsOpenOlympic,Art Competitions
Shooting,Fencing
DuelingPistolAuCommandement25metresIntercalated,Fencing
DuelingPistol30metresTeamOlympic,Fencing
SwimmingAquatics,Fencing
100metresFreestyleOlympic,Fencing
FootballIntercalated,Football (Football)
Fencing,Fencing
TrapTeamOlympic,Shooting
ThreePersonKeelboatOpenOlympic,Sailing
Fencing,Modern Pentathlon
peTeamOlympic,Modern Pentathlon
PaintingDrawingsAndWaterColorsOpenOlympic,Art Competitions
PaintingGraphicArtsOpenOlympic,Art Competitions
PaintingAppliedArtsOpenOlympic,Art Competitions
ArtCompetitions,Fencing
PaintingGraphicArtsOpenOlympic,Fencing
SabreIndividualOlympic,Modern Pentathlon
FoilIndividualBoysOlympicnonmedal,Fencing
SingleSticksIndividualOlympic,Fencing
200metresOlympic,Athletics
FootballOlympic,Football (Football)
PlatformOlympic,Diving (Aquatics)
SynchronizedPlatformOlympic,Diving (Aquatics)
PlatformOlympic,Diving (Aquatics)
SynchronizedPlatformOlympic,Diving (Aquatics)
Athletics,Football (Football)
110metresHurdlesOlympic,Football (Football)
BandyOlympicnonmedal,Bandy
4400metresRelayOlympic,Athletics
120yardsHurdlesOlympicnonmedal,Football (Football)
440yardsBoysOlympicnonmedal,Football (Football)
IndividualAllAroundOlympic,Artistic Gymnastics (Gymnastics)
FloorExerciseOlympic,Artistic Gymnastics (Gymnastics)
HorseVaultOlympic,Artistic Gymnastics (Gymnastics)
UnevenBarsOlympic,Artistic Gymnastics (Gymnastics)
BalanceBeamOlympic,Artistic Gymnastics (Gymnastics)
TeamAllAroundOlympic,Artistic Gymnastics (Gymnastics)
IndividualOlympic,Rhythmic Gymnastics (Gymnastics)
TeamPortableApparatusOlympic,Artistic Gymnastics (Gymnastics)
GroupOlympic,Rhythmic Gymnastics (Gymnastics)
IndividualAllAroundOlympic,Artistic Gymnastics (Gymnastics)
TeamAllAroundOlympic,Artistic Gymnastics (Gymnastics)
FloorExerciseOlympic,Artistic Gymnastics (Gymnastics)
HorseVaultOlympic,Artistic Gymnastics (Gymnastics)
ParallelBarsOlympic,Artistic Gymnastics (Gymnastics)
HorizontalBarOlympic,Artistic Gymnastics (Gymnastics)
RingsOlympic,Artistic Gymnastics (Gymnastics)
PommelledHorseOlympic,Artistic Gymnastics (Gymnastics)
PoleVaultOlympic,Athletics
IndividualAllAroundFieldSportsOlympic,Artistic Gymnastics (Gymnastics)
IndividualAllAroundApparatusWorkOlympic,Artistic Gymnastics (Gymnastics)
TeamAllAroundSwedishSystemOlympic,Artistic Gymnastics (Gymnastics)
FeatherweightOlympic,Weightlifting
TeamAllAroundFreeSystemOlympic,Artistic Gymnastics (Gymnastics)
TeamAllAroundIntercalated,Artistic Gymnastics (Gymnastics)
RopeClimbingOlympic,Artistic Gymnastics (Gymnastics)
SideHorseOlympic,Artistic Gymnastics (Gymnastics)
6metresOpenOlympic,Sailing
ArtisticGymnasticsGymnastics,Football (Football)
TeamAllAroundFreeSystemOlympic,Football (Football)
ArchitectureOpenOlympicnonmedal,Art Competitions
FreeRifleThreePositions300metresOlympic,Shooting
FreeRifleThreePositions300metresTeamOlympic,Shooting
MilitaryRifleProne300metresTeamOlympic,Shooting
MilitaryRifleProne600metresOlympic,Shooting
MilitaryRifleProne600metresTeamOlympic,Shooting
MilitaryRifleStanding300metresOlympic,Shooting
MilitaryRifleStanding300metresTeamOlympic,Shooting
MilitaryRifleProne300and600metresTeamOlympic,Shooting
RunningTargetSingleShotTeamOlympic,Shooting
RunningTargetDoubleShotTeamOlympic,Shooting
RunningTargetSingleShotOlympic,Shooting
RunningTargetDoubleShotOlympic,Shooting
26thFederalFestivalSocietyandAssociationContestsNonSimultaneousNationalChampionshipsOlympicnonmedal,Artistic Gymnastics (Gymnastics)
IndividualAllAroundIntercalated,Artistic Gymnastics (Gymnastics)
IndividualAllAround5EventsIntercalated,Artistic Gymnastics (Gymnastics)
FestivalforSocietiesoftheSeineArtisticIndividualOlympicnonmedal,Artistic Gymnastics (Gymnastics)
FestivalforSocietiesoftheSeineIndividual2Olympicnonmedal,Artistic Gymnastics (Gymnastics)
FestivalforSocietiesoftheSeineAdvancedOlympicnonmedal,Artistic Gymnastics (Gymnastics)
LightweightGrecoRomanOlympic,Wrestling
100metresIntercalated,Athletics
HighJumpIntercalated,Athletics
LongJumpIntercalated,Athletics
ParallelBarsTeamsOlympic,Artistic Gymnastics (Gymnastics)
HorizontalBarTeamsOlympic,Artistic Gymnastics (Gymnastics)
Athletics,Artistic Gymnastics (Gymnastics)
HighJumpOlympic,Artistic Gymnastics (Gymnastics)
ShotPutOlympic,Artistic Gymnastics (Gymnastics)
100metresOlympic,Artistic Gymnastics (Gymnastics)
PoleVaultOlympic,Artistic Gymnastics (Gymnastics)
LongJumpOlympic,Artistic Gymnastics (Gymnastics)
TripleJumpOlympic,Artistic Gymnastics (Gymnastics)
ArtisticGymnasticsGymnastics,Athletics
RopeClimbingOlympic,Athletics
110metresHurdlesIntercalated,Athletics
PoleVaultIntercalated,Athletics
StandingLongJumpIntercalated,Athletics
IndividualAllAroundIntercalated,Athletics
IndividualAllAround5EventsIntercalated,Athletics
TeamAllAroundIntercalated,Athletics
TugOfWarIntercalated,Athletics
CyclingRoadCycling,Artistic Gymnastics (Gymnastics)
RoadRaceIndividualOlympic,Artistic Gymnastics (Gymnastics)
Shooting,Artistic Gymnastics (Gymnastics)
MilitaryPistol25metresOlympic,Artistic Gymnastics (Gymnastics)
MilitaryRifle200metresOlympic,Artistic Gymnastics (Gymnastics)
TumblingOlympic,Artistic Gymnastics (Gymnastics)
RopeClimbingIntercalated,Artistic Gymnastics (Gymnastics)
DecathlonOlympic,Artistic Gymnastics (Gymnastics)
ClubSwingingOlympic,Artistic Gymnastics (Gymnastics)
PlainHighOlympic,Diving (Aquatics)
ArtisticGymnasticsGymnastics,Diving (Aquatics)
TeamAllAroundFreeSystemOlympic,Diving (Aquatics)
StandingLongJumpOlympic,Athletics
StandingLongJumpOlympic,Artistic Gymnastics (Gymnastics)
JavelinThrowOlympic,Artistic Gymnastics (Gymnastics)
StandingHighJumpIntercalated,Athletics
TripleJumpIntercalated,Athletics
400metresOlympic,Artistic Gymnastics (Gymnastics)
DiscusThrowOlympic,Artistic Gymnastics (Gymnastics)
TugOfWarIntercalated,Tug-Of-War
JavelinThrowFreestyleIntercalated,Tug-Of-War
Fencing,Artistic Gymnastics (Gymnastics)
SabreIndividualOlympic,Artistic Gymnastics (Gymnastics)
110metresHurdlesOlympic,Artistic Gymnastics (Gymnastics)
PlatformIntercalated,Diving (Aquatics)
TugOfWar,Diving (Aquatics)
TugOfWarIntercalated,Diving (Aquatics)
ArtisticGymnasticsGymnastics,Fencing
TeamAllAroundOlympic,Fencing
IndividualAllAround4EventsOlympic,Artistic Gymnastics (Gymnastics)
IndividualAllAroundOlympicnonmedal,Artistic Gymnastics (Gymnastics)
HorseVaultOlympicnonmedal,Artistic Gymnastics (Gymnastics)
ParallelBarsOlympicnonmedal,Artistic Gymnastics (Gymnastics)
SideHorseOlympicnonmedal,Artistic Gymnastics (Gymnastics)
HandballOlympic,Handball
Handball,Handball
CombinedOlympic,Alpine Skiing (Skiing)
CrossCountrySkiingSkiing,Alpine Skiing (Skiing)
410kilometresRelayOlympic,Alpine Skiing (Skiing)
HalfMiddleweightOlympic,Judo
LightweightOlympic,Judo
HeavyweightOlympic,Judo
HalfHeavyweightOlympicnonmedal,Judo
HalfHeavyweightOlympic,Judo
LightweightOlympicnonmedal,Judo
ExtraLightweightOlympic,Judo
MiddleweightOlympic,Judo
HalfMiddleweightOlympicnonmedal,Judo
